Exercise Name,Direct Image Link,YouTube Link
3/4 sit-up,https://images.fineartamerica.com/images-medium-large-5/landscpe3-rajesh-macha.jpg,https://www.youtube.com/watch?v=vvmcVK0CfHc
45° side bend,https://www.cinejosh.com/newsimg/newsmainimg/45-teaser-is-out_b_3103250948.jpg,https://www.youtube.com/watch?v=rDn-E1xL_wA
air bike,https://i.pinimg.com/originals/71/b9/e0/71b9e0320a8f7b5de5fdc0c1d098fd48.jpg,https://www.youtube.com/watch?v=KC-ZSfOmXgE
all fours squad stretch,https://moonworld.jp/wp-content/uploads/2023/06/230524_192134-W-Tate.jpg,https://www.youtube.com/watch?v=PdTNAjLfybs
